年份,省份,项目,合计,农田灌溉,林牧渔畜,工业,城镇公共,居民生活,生态环境
Year,Province,Item,Total,Irrigation,Livestock,Industry,Cities,Domestic,Ecological
2003,青海,withdraw,3.34,0.18,0,1.83,0.38,0.85,0.1
2003,青海,consumption,1.38,0.15,0,0.62,0.12,0.41,0.08
2003,四川,withdraw,0,0,0,0,0,0,0
2003,四川,consumption,0,0,0,0,0,0,0
2003,甘肃,withdraw,7.01,2.86,0.57,1.96,0.22,1.38,0.02
2003,甘肃,consumption,4.67,2.4,0.48,0.66,0.13,0.99,0.01
2003,宁夏,withdraw,6.46,1.9,0.66,2.5,0.31,1,0.09
2003,宁夏,consumption,3.47,1.59,0.55,0.75,0.06,0.48,0.04
2003,内蒙古,withdraw,23.06,13.9,2.57,4.03,0.64,1.92,0
2003,内蒙古,consumption,19.02,12.16,2.24,3.01,0.39,1.22,0
2003,陕西,withdraw,29.86,12.96,2.62,8.21,0.86,4.81,0.4
2003,陕西,consumption,18.73,10.93,2.21,2.33,0.3,2.56,0.4
2003,山西,withdraw,24.09,12.23,1.02,6.31,1.12,3.23,0.18
2003,山西,consumption,18.73,10.27,0.86,4.54,0.51,2.37,0.18
2003,河南,withdraw,29.07,17.04,1.42,6.28,0.36,3.24,0.73
2003,河南,consumption,19.43,14,1.15,1.77,0.05,2.1,0.36
2003,山东,withdraw,10.19,5.96,0.88,2.05,0.13,1.14,0.03
2003,山东,consumption,7.45,4.88,0.72,0.93,0.09,0.81,0.02
2003,合计,withdraw,133.08,67.03,9.74,33.17,4.02,17.57,1.55
2003,合计,consumption,92.88,56.38,8.21,14.61,1.65,10.94,1.09
2004,青海,withdraw,4.35,0.18,/,2.82,0.39,0.86,0.1
2004,青海,consumption,1.91,0.16,/,1.13,0.16,0.38,0.08
2004,四川,withdraw,0.01,/,0.01,/,/,/,/
2004,四川,consumption,0.01,/,0.01,/,/,/,/
2004,甘肃,withdraw,7.17,2.86,0.6,2.03,0.23,1.43,0.02
2004,甘肃,consumption,4.77,2.41,0.5,0.69,0.14,1.02,0.01
2004,宁夏,withdraw,5.37,0.71,0.67,2.46,0.36,1.07,0.1
2004,宁夏,consumption,2.79,0.59,0.56,0.83,0.11,0.65,0.05
2004,内蒙古,withdraw,23.57,15.85,2.69,2.71,0.67,1.42,0.23
2004,内蒙古,consumption,19.52,13.87,2.33,1.87,0.43,0.83,0.19
2004,陕西,withdraw,29.2,12.43,2.56,7.9,1.17,4.95,0.19
2004,陕西,consumption,19.53,10.48,2.16,2.82,0.55,3.33,0.19
2004,山西,withdraw,24,12.28,1.13,6.31,0.98,3.1,0.2
2004,山西,consumption,18.45,10.32,0.95,4.12,0.48,2.38,0.2
2004,河南,withdraw,29.15,16.18,1.87,6.77,0.4,3.25,0.68
2004,河南,consumption,19.21,13.28,1.53,1.87,0.15,2.21,0.17
2004,山东,withdraw,9.91,5.76,0.62,2.12,0.11,1.25,0.05
2004,山东,consumption,7.14,4.72,0.51,1.09,0.08,0.72,0.02
2004,合计,withdraw,132.73,66.25,10.15,33.12,4.31,17.33,1.57
2004,合计,consumption,93.33,55.83,8.55,14.42,2.1,11.52,0.91
2005,青海,withdraw,3.94,0.18,/,2.34,0.4,0.92,0.1
2005,青海,consumption,1.71,0.15,/,0.94,0.12,0.42,0.08
2005,四川,withdraw,0.04,/,0.02,0.02,/,/,/
2005,四川,consumption,0.03,/,0.02,0.01,/,/,/
2005,甘肃,withdraw,6.35,3.13,0.25,1.61,0.24,1.04,0.08
2005,甘肃,consumption,4.23,2.63,0.21,0.54,0.14,0.67,0.04
2005,宁夏,withdraw,5.35,0.57,0.71,2.62,0.33,1.02,0.1
2005,宁夏,consumption,2.56,0.48,0.59,0.89,0.07,0.48,0.05
2005,内蒙古,withdraw,24.98,15.17,3.72,3.54,0.62,1.65,0.28
