年,容量,名称,省份,区域,枢纽
Year,capacity,name,province,region,major,
1958,40.0,东平湖围堤,山东省,DR,0
1959,2.16,盐锅峡,甘肃省,UR,1
1960,0.168,红领巾水库,河北省,DR,0
1961,7.23,汾河水库,山西省,MR,0
1962,2.57,巴家嘴水库,甘肃省,UR,0
1965,13.2,陆浑水库,河南省,DR,1
1966,2.21,雪野水库,山东省,DR,0
1967,7.35,青铜峡,宁夏回族自治区,UR,1
1968,57.0,刘家峡,甘肃省,UR,1
1970,1.2,羊毛湾水库,山西省,MR,0
1975,2.38,巴家嘴水库,甘肃省,UR,0
1976,0.74,天桥水电站,山西省,MR,1
1979,3.89,冯家山水库,陕西省,MR,0
1980,0.49,八盘峡水电站,甘肃省,UR,1
1982,0.22,东大滩水库,青海省,SR,0
1986,247.0,龙羊峡水电站,青海省,SR,1
1991,2.03,王瑶水库,陕西省,MR,0
1993,11.75,故县水库,山东省,DR,1
1994,1.47,石头河水库,陕西省,MR,0
1997,16.5,李家峡水电站,青海省,SR,1
1998,8.96,万家寨水利枢纽工程,山西省,MR,1
2000,0.46,济南鹊山引黄调蓄水库,山东省,DR,0
2001,25.01,黄河源水电站,青海省,SR,0
2002,0.17,尼那水电站,青海省,SR,1
2004,0.26,黄河沙坡头水利枢纽工程,宁夏回族自治区,UR,1
2005,0.455,苏只水电站,青海省,SR,1
2007,1.62,西霞院反调节水库,河南省,DR,1
2008,0.2368,乌金峡水电站,甘肃省,UR,1
2009,1.96,黄河龙口水利枢纽,山西省,MR,1
2010,2.635,积石峡水电站,青海省,SR,1
2011,3.17,沁河河口村水库,山西省,MR,0
2016,0.59,黄丰水电站,青海省,SR,1
1960,1.1,卧虎山水库,山东省,DR,0
1961,0.8,三盛公枢纽,内蒙古,UR,1
1970,1.05,文峪河水库,山西省,MR,0
1996,0.9,大峡水电站,甘肃省,UR,1
2000,0.345,山东博兴纯化水库,山东省,DR,0
2002,1.81,黑泉水利枢纽工程,青海省,SR,0
2004,6.2,公伯峡水电站,青海省,SR,1
2005,0.154,直岗拉卡水电站,青海省,SR,1
2007,0.28800000000000003,康扬水电站,青海省,SR,1
2008,0.4794,寺沟峡水电站,甘肃省,UR,1
2009,10.56,拉西瓦水电站,青海省,SR,1
2010,0.1535,班多水电站,青海省,SR,1
1960,58.9,三门峡,河南省,DR,1
2000,126.5,小浪底水利枢纽,河南省,DR,1
2004,0.48,小峡水电站,甘肃省,UR,1
