Year,Tangnai Hai,Toudao Guai,Huayuan Kou,Lijin
1956,133.2,166.4,474,486.5
1957,155.1,169.1,357.5,370.9
1958,201.3,273.4,629.9,596.7
1959,157.2,242.4,390.9,297.9
1960,162.9,188,200.9,91.3
1961,225.2,317.6,559.7,519.8
1962,185.1,211.1,448.7,494.1
1963,237.6,270.5,557.2,611.8
1964,227.9,372.9,861.4,973
1965,178.9,191.4,383.4,381.1
1966,226.5,253.8,452.5,410.7
1967,311,444.9,706,684.4
1968,255.9,335.1,585.2,557.6
1969,154.5,125,304.1,287.7
1970,143.2,180,370.2,353.6
1971,186,188.8,351.4,318.5
1972,201.8,204.4,294.8,221.9
1973,179.2,202.3,361.1,281.6
1974,187.8,178.4,283.9,231.6
1975,310.1,329.5,549.4,478.3
1976,268,351.4,534,448.3
1977,164,213.7,349.4,247.5
1978,194.2,216.9,349.9,259.2
1979,205.6,265.8,371.7,269.9
1980,189.3,174.9,292.2,188.4
1981,296.7,322.5,476.6,345.9
1982,281.7,260,427,297
1983,314.8,339.4,610.4,490.8
1984,239.6,279.9,535.5,446.2
1985,220.9,258.9,474.1,388.6
1986,198.7,201.6,291.9,157.4
1987,177,116.7,227.9,108.4
1988,164.3,145.3,365.5,193.7
1989,328.1,291.1,425.5,241.8
1990,168.8,203.5,364.7,264.4
1991,147.2,147.2,241.4,122.5
1992,200.2,145.1,267.3,133.7
1993,218.5,182.7,305.1,185
1994,163,194.8,305.3,217
1995,156.2,172.6,239,136.7
1996,139.9,144.8,277.3,155.2
1997,141.6,101.8,142.6,18.6
1998,183.2,117.1,217.5,106.1
1999,242.3,157.8,208.7,68.3
2000,154.4,140.2,165.3,48.6
2001,138.1,113.27,165.5,46.53
2002,105.75,122.75,195.64,41.9
2003,171.6,115.6,272.7,192.6
2004,151.3,127.6,240.5,198.8
2005,255,150.2,257,206.8
2006,141.3,174.9,281.1,191.7
2007,189,189.3,269.7,204
2008,174.6,164.1,236.1,146
2009,263.5,169.6,232.2,132.9
2010,197.1,191.2,276.3,193
2011,211.2,162.9,287.1,184.2
2012,284.1,286.2,388,282.5
2013,194.6,209.8,327.5,236.9
2014,196.6,175.8,231,114.3
2015,151.6,142,247.6,133.6
2016,136.4,113.1,178.8,81.88
2017,186.1,127.9,193.5,89.58
2018,291.5,324.9,447.8,333.8
2019,310.3,353,457.6,312.2
2020,321.6,369.8,487.1,359.6
2021,222.9,222.1,509.7,441.1
