年份,省份,项目,合计,农田灌溉,林牧渔畜,工业,城镇公共,居民生活,生态环境
Year,Province,Item,Total,Irrigation,Livestock,Industry,Cities,Domestic,Ecological
2003,青海,withdraw,15.49,12.44,1.88,0.74,0,0.43,0
2003,青海,consumption,10.89,8.58,1.55,0.48,0,0.28,0
2003,四川,withdraw,0.28,0.1,0.09,0.05,0,0.04,0
2003,四川,consumption,0.25,0.1,0.09,0.03,0,0.03,0
2003,甘肃,withdraw,37.77,21.15,1.93,10.86,0.91,2.8,0.12
2003,甘肃,consumption,29.17,16.92,1.65,7.63,0.76,2.1,0.11
2003,宁夏,withdraw,59.63,48.38,7.8,2.85,0,0.25,0.35
2003,宁夏,consumption,35.59,26.23,6.79,2.15,0,0.07,0.35
2003,内蒙古,withdraw,57.58,50.03,4.72,1.84,0.06,0.63,0.3
2003,内蒙古,consumption,50.46,43.98,4.21,1.48,0.06,0.43,0.3
2003,陕西,withdraw,22.46,14.15,2.35,2.92,0.6,1.63,0.81
2003,陕西,consumption,18.73,12.42,2,1.9,0.54,1.06,0.81
2003,山西,withdraw,11.17,8.08,0.53,1.8,0.2,0.52,0.04
2003,山西,consumption,9.6,7.33,0.48,1.23,0.18,0.34,0.04
2003,河南,withdraw,30.2,22.49,0.45,4.46,0.61,1.8,0.39
2003,河南,consumption,28.25,21.61,0.37,3.73,0.59,1.61,0.34
2003,山东,withdraw,51.4,43.13,0.49,4.87,0.83,1.97,0.11
2003,山东,consumption,50.57,42.72,0.45,4.61,0.83,1.86,0.1
2003,河北,withdraw,0.1,0.1,/,/,/,/,/
2003,河北,consumption,0.1,0.1,/,/,/,/,/
2003,天津,withdraw,9.96,/,/,3,0.5,2,4.46
2003,天津,consumption,9.96,/,/,3,0.5,2,4.46
2003,合计,withdraw,296.04,220.05,20.24,33.39,3.71,12.07,6.58
2003,合计,consumption,248.97,179.99,17.59,26.24,3.46,9.78,6.51
2004,青海,withdraw,14.95,12.45,1.87,0.2,/,0.43,/
2004,青海,consumption,10.62,8.63,1.58,0.13,/,0.28,/
2004,四川,withdraw,0.29,0.09,0.1,0.05,0.01,0.04,/
2004,四川,consumption,0.26,0.09,0.1,0.03,0.01,0.03,/
2004,甘肃,withdraw,37.81,21.16,2.1,10.56,0.96,2.91,0.12
2004,甘肃,consumption,29.33,17.11,1.79,7.34,0.81,2.17,0.11
2004,宁夏,withdraw,68.98,57.95,9.59,0.96,/,0.16,0.32
2004,宁夏,consumption,37.67,28.67,8.08,0.46,/,0.14,0.32
2004,内蒙古,withdraw,67.01,57.58,5.01,3.65,0.23,0.44,0.1
2004,内蒙古,consumption,56.39,49.03,3.61,2.98,0.23,0.44,0.1
2004,陕西,withdraw,24.92,16.68,2.45,2.87,0.62,1.88,0.42
2004,陕西,consumption,20.91,14.69,2.11,1.89,0.56,1.24,0.42
2004,山西,withdraw,11.67,8.09,0.57,1.91,0.29,0.77,0.04
2004,山西,consumption,10.07,7.44,0.52,1.3,0.26,0.51,0.04
2004,河南,withdraw,27.87,20.48,0.82,4.03,0.4,1.63,0.51
2004,河南,consumption,26.07,19.66,0.7,3.39,0.38,1.48,0.46
2004,山东,withdraw,50.44,40.64,0.44,4.81,1.11,2.47,0.97
2004,山东,consumption,49.57,40.17,0.39,4.59,1.1,2.36,0.96
2004,河北和天津,withdraw,8.08,/,/,2.14,0.4,1.3,4.24
2004,河北和天津,consumption,8.08,/,/,2.14,0.4,1.3,4.24
2004,合计,withdraw,312.02,235.12,22.95,31.18,4.02,12.03,6.72
2004,合计,consumption,248.97,185.49,18.88,24.25,3.75,9.95,6.65
2005,青海,withdraw,15.23,12.18,1.77,0.8,/,0.48,/
2005,青海,consumption,10.77,8.45,1.49,0.52,/,0.31,/
2005,四川,withdraw,0.27,0.09,0.09,0.03,0.01,0.05,/
2005,四川,consumption,0.24,0.09,0.09,0.02,0.01,0.03,/
2005,甘肃,withdraw,36.97,23.4,0.63,8.99,1.01,2.62,0.32
2005,甘肃,consumption,29.21,18.96,0.53,6.63,0.84,1.97,0.28
2005,宁夏,withdraw,74.96,65.24,6.16,2.84,/,0.2,0.52
2005,宁夏,consumption,42.08,35.99,4.65,0.83,/,0.09,0.52
2005,内蒙古,withdraw,73.03,62.7,5.07,4.07,0.5,0.56,0.13
2005,内蒙古,consumption,62.2,54.06,3.66,3.29,0.5,0.56,0.13
2005,陕西,withdraw,27.79,19.58,2.51,2.69,0.62,1.92,0.47
2005,陕西,consumption,23.6,17.33,2.19,1.79,0.56,1.26,0.47
2005,山西,withdraw,13.41,9.1,0.56,2.33,0.45,0.93,0.04
2005,山西,consumption,11.81,8.44,0.51,1.79,0.41,0.62,0.04
2005,河南,withdraw,30.91,21.65,1.29,4.91,0.83,1.84,0.39
2005,河南,consumption,29.32,21.08,1.18,4.16,0.82,1.73,0.35
2005,山东,withdraw,58.11,46.27,2.54,5.4,1.43,2.06,0.41
2005,山东,consumption,57.3,45.91,2.48,5.2,1.42,1.89,0.4
2005,河北和天津,withdraw,1.33,/,/,0.3,0.2,0.3,0.53
2005,河北和天津,consumption,1.33,/,/,0.3,0.2,0.3,0.53
2005,合计,withdraw,332.01,260.21,20.62,32.36,5.05,10.96,2.81
2005,合计,consumption,267.86,210.31,16.78,24.53,4.76,8.76,2.72
2006,青海,withdraw,16.22,12.89,1.96,0.89,/,0.48,/
2006,青海,consumption,13.57,11,1.68,0.58,/,0.31,/
2006,四川,withdraw,0.22,0.08,0.08,0.01,0.01,0.04,/
2006,四川,consumption,0.19,0.07,0.07,0.01,0.01,0.03,/
2006,甘肃,withdraw,38.53,24.2,0.69,9.52,1.04,2.76,0.32
2006,甘肃,consumption,30.05,19.26,0.59,7.01,0.88,2.03,0.28
2006,宁夏,withdraw,74.77,63.11,7.54,2.71,0.2,0.61,0.6
2006,宁夏,consumption,39.02,30.31,6.42,0.96,0.2,0.53,0.6
2006,内蒙古,withdraw,74.06,62.9,5.09,4.36,0.9,0.51,0.3
2006,内蒙古,consumption,60.94,51.18,4.28,3.77,0.9,0.51,0.3
2006,陕西,withdraw,31.58,21.99,2.5,3.56,0.85,2.15,0.53
